Trans. Date,Post Date,Description,Amount,Category
10/03/2024,10/03/2024,"APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 4539MTNGKVZ263A0",18.99,"Merchandise"
10/06/2024,10/06/2024,"DIRECTPAY FULL BALANCESEE DETAILS OF YOUR NEXT DIRECTPAY BELOW",-298.97,"Payments and Credits"
10/10/2024,10/10/2024,"PAPA JOHNS #502 CHESTERFIELD MOAPPLE PAY ENDING IN 4539",66.12,"Restaurants"
10/12/2024,10/12/2024,"AMERICAN AIRLINES FT WORTH TXAPPLE PAY ENDING IN 4539",151.29,"Travel/ Entertainment"
10/19/2024,10/19/2024,"AMERICANAIRLINES PAC USD 866-924-3175 CA",35.00,"Services"
10/19/2024,10/19/2024,"WIFIONBOARD INTELSAT.COM IL406443252WFAA",13.00,"Services"
10/20/2024,10/20/2024,"APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 4539",0.99,"Merchandise"
10/21/2024,10/21/2024,"APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 4539MTNGMBM07YA0",19.99,"Merchandise"
10/23/2024,10/23/2024,"APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 4539MTNGNFLBN2A0",18.99,"Merchandise"
10/23/2024,10/23/2024,"WUNDERMART MUENCHEN DEU20.20 @ 00000001.0940594 EUR",22.10,"Supermarkets"
10/24/2024,10/24/2024,"WUNDERMART MUENCHEN DEU9.97 @ 00000001.0972919 EUR",10.94,"Supermarkets"
10/24/2024,10/24/2024,"WUNDERMART MUENCHEN DEU15.76 @ 00000001.0977157 EUR",17.30,"Supermarkets"
