Trans. Date,Post Date,Description,Amount,Category
12/06/2024,12/06/2024,"14TH STREET DELI WASHINGTON DC",13.00,"Supermarkets"
12/06/2024,12/06/2024,"DIRECTPAY FULL BALANCESEE DETAILS OF YOUR NEXT DIRECTPAY BELOW",-391.56,"Payments and Credits"
12/06/2024,12/06/2024,"GREAT WRAP REAGAN WASHINGTON DC",11.54,"Restaurants"
12/11/2024,12/12/2024,"APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 4539MTNGVT5Y31A0",19.99,"Merchandise"
12/15/2024,12/15/2024,"NETFLIX.COM NETFLIX.COM CA5FJ4RUZ3KSYDEMEFHNSOK7",6.99,"Services"
12/20/2024,12/20/2024,"APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 4539MTNGWNHWWFA0",0.99,"Merchandise"
12/26/2024,12/26/2024,"SWA INFLIGHT WIFI 800-435-9792 CAAPPLE PAY ENDING IN 4539241226-16SABQE1KQK",8.00,"Services"
12/27/2024,12/27/2024,"APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 4539",18.99,"Merchandise"
12/27/2024,12/29/2024,"SWA INFLIGHT WIFI 800-435-9792 CAAPPLE PAY ENDING IN 4539241226-16SABQE1KQK",-8.00,"Payments and Credits"
12/30/2024,12/30/2024,"EZ PARK SAINT ANN MO",81.00,"Services"
