Transaction Date,Post Date,Description,Category,Type,Amount,Memo
06/28/2026,06/30/2026,STARBUCKS A-05 STL,Food & Drink,Sale,-6.19,
06/30/2026,06/30/2026,UBER   *TRIP,Travel,Sale,-10.96,
06/29/2026,06/30/2026,MCDONALD'S F15788,Food & Drink,Sale,-10.17,
06/29/2026,06/30/2026,CHIPOTLE 4293,Food & Drink,Sale,-18.18,
06/28/2026,06/29/2026,HUDSONNEWS  ST1202,Shopping,Sale,-6.25,
06/28/2026,06/29/2026,MCDONALD'S F22821,Food & Drink,Sale,-21.66,
06/28/2026,06/29/2026,9456 GREAT CLIPS AT TWON,Personal,Sale,-29.00,
06/28/2026,06/29/2026,UNITED      0164709266349,Travel,Sale,-60.00,
06/28/2026,06/29/2026,UNITED      0164709266348,Travel,Sale,-50.00,
06/25/2026,06/28/2026,SOUTHWES    5262173942581,Travel,Sale,-11.20,
06/26/2026,06/28/2026,CHIPOTLE 0918,Food & Drink,Sale,-19.30,
06/26/2026,06/28/2026,POINTS RAPID REWARDS,Personal,Sale,-270.00,
06/27/2026,06/28/2026,DIERBERGS MARKET PL,Groceries,Sale,-42.24,
06/27/2026,06/28/2026,JCPENNEY 1942,Shopping,Sale,-83.19,
06/27/2026,06/28/2026,JOHNSTON &amp; MURPHY#071844,Shopping,Sale,-171.26,
06/27/2026,06/28/2026,PHILLIPS 66 - 24 FASTL,Gas,Sale,-5.09,
06/27/2026,06/28/2026,GLF*WARRENTONGOLF,Entertainment,Sale,-8.97,
06/27/2026,06/28/2026,GLF*WARRENTONGOLF,Entertainment,Sale,-129.00,
06/27/2026,06/28/2026,MCDONALD'S F18113,Food & Drink,Sale,-12.53,
06/26/2026,06/26/2026,AUTOMATIC PAYMENT - THANK,,Payment,8790.90,
06/24/2026,06/26/2026,SOUTHWES    5262173796427,Travel,Sale,-11.20,
06/24/2026,06/26/2026,SOUTHWES    5262173796717,Travel,Sale,-11.20,
06/25/2026,06/26/2026,DIERBERGS MARKET PL,Groceries,Sale,-39.72,
06/23/2026,06/25/2026,EZ PARK,Travel,Sale,-133.00,
06/24/2026,06/25/2026,Spectrum Mobile,Bills & Utilities,Sale,-52.00,
06/21/2026,06/25/2026,SOUTHWES    5267450199995,Travel,Sale,-255.89,
06/24/2026,06/25/2026,WWW.CVB.USCOURTS.GOV,Bills & Utilities,Sale,-175.00,
06/24/2026,06/25/2026,DIERBERGS MARKET PL,Groceries,Sale,-57.19,
06/23/2026,06/25/2026,UNITED      0167450858815,Travel,Sale,-661.60,
06/23/2026,06/25/2026,HOLIDAY INN EXPRESS &amp; SU,Travel,Sale,-1600.20,
06/22/2026,06/24/2026,KWIK TRIP #484,Gas,Sale,-13.64,
06/23/2026,06/24/2026,SQ *HALF MOON EMPANADAS,Food & Drink,Sale,-23.46,
06/23/2026,06/24/2026,SQ *HOMETOWN MARKET,Shopping,Sale,-10.31,
06/23/2026,06/24/2026,SQ *HOMETOWN MARKET,Shopping,Sale,-9.76,
06/21/2026,06/23/2026,TST*THE MONTE CARLO,Food & Drink,Sale,-40.15,
06/21/2026,06/23/2026,KWIK TRIP #603,Gas,Sale,-36.04,
06/21/2026,06/23/2026,KWIK TRIP #484,Gas,Sale,-10.25,
06/23/2026,06/23/2026,UBER   *TRIP,Travel,Sale,-13.58,
06/22/2026,06/23/2026,JIMMY JOHNS - 4008,Food & Drink,Sale,-22.98,
06/22/2026,06/23/2026,AAFES FT MC COY 09,Shopping,Sale,-3.29,
06/21/2026,06/22/2026,THE ARCHIVE,Travel,Sale,-58.88,
06/20/2026,06/22/2026,PURALIMA,Food & Drink,Sale,-24.76,
06/21/2026,06/22/2026,TST* HOPE BREAKFAST BAR -,Food & Drink,Sale,-36.28,
06/19/2026,06/21/2026,JIMMY JOHNS - 4008,Food & Drink,Sale,-22.98,
06/19/2026,06/21/2026,AAFES FT MC COY 09,Shopping,Sale,-3.29,
06/18/2026,06/21/2026,KWIK TRIP #484,Gas,Sale,-13.95,
06/18/2026,06/21/2026,KWIK TRIP #484,Gas,Sale,-30.91,
06/19/2026,06/21/2026,KWIK TRIP #796,Gas,Sale,-8.49,
06/18/2026,06/19/2026,JIMMY JOHNS - 4008,Food & Drink,Sale,-22.98,
06/19/2026,06/19/2026,MESHY,Shopping,Sale,-20.00,
06/18/2026,06/19/2026,AAFES FT MC COY 09,Shopping,Sale,-3.29,
06/17/2026,06/18/2026,JIMMY JOHNS - 4008,Food & Drink,Sale,-28.44,
06/17/2026,06/18/2026,TST*TAPHOUSE TWENTY,Food & Drink,Sale,-30.32,
