Transaction Date,Post Date,Description,Category,Type,Amount,Memo
11/29/25,11/30/25,HOU ShadyLaneMktpl,Shopping,Sale,-5.49,
11/28/25,11/30/25,SHELL OIL 57542116900,Gas,Sale,-4.32,
11/29/25,11/30/25,DD/BR #357672,Food & Drink,Sale,-9.48,
11/27/25,11/30/25,ME-BEAUMONT-KIOSK,Food & Drink,Sale,-62.68,
11/27/25,11/30/25,HOMEWOOD SUITES,Travel,Sale,-5,
11/26/25,11/28/25,AIRPORT FOOD MART,Gas,Sale,-4.31,
11/26/25,11/28/25,SHELL OIL 57542116900,Gas,Sale,-12.43,
11/27/25,11/27/25,AUTOMATIC PAYMENT - THANK,,Payment,8230.88,
11/26/25,11/27/25,PAPPADEAUX SEAFOOD #76,Food & Drink,Sale,-47.1,
11/26/25,11/27/25,STL HUDSONNEWS ST1687,Groceries,Sale,-6.98,
11/25/25,11/26/25,DIERBERGS MARKET PL,Groceries,Sale,-116.02,
11/24/25,11/25/25,WL *Steam Purchase,Entertainment,Sale,-59.49,
11/23/25,11/24/25,AVIS.COM PREPAY,Travel,Sale,-437.71,
11/23/25,11/24/25,TARGET        00013532,Shopping,Sale,-96.01,
11/22/25,11/24/25,CHICK-FIL-A #01976,Food & Drink,Sale,-15.66,
11/22/25,11/23/25,DIERBERGS FOUR SEAS,Groceries,Sale,-90.71,
11/20/25,11/21/25,USPS PO 2814820605,Shopping,Sale,-2.17,
11/20/25,11/21/25,DIERBERGS MARKET PL,Groceries,Sale,-111.54,
11/17/25,11/18/25,APPLE.COM/BILL,Shopping,Sale,-0.99,
11/17/25,11/18/25,DIERBERGS MARKET PL,Groceries,Sale,-77.81,
11/15/25,11/16/25,EXXON COUNTRY CLUB EXP,Gas,Sale,-31.76,
11/14/25,11/16/25,KWIK TRIP #796,Gas,Sale,-9.35,
11/14/25,11/16/25,WENDYS #12760,Food & Drink,Sale,-10.12,
11/14/25,11/16/25,JIMMY JOHNS - 4008,Food & Drink,Sale,-15.9,
11/13/25,11/16/25,STARBUCKS STORE 25706,Food & Drink,Sale,-4.91,
11/13/25,11/16/25,KWIK TRIP #484,Gas,Sale,-12.16,
11/14/25,11/16/25,HAMPTON INNS,Travel,Sale,-416.51,
11/15/25,11/16/25,PHILLIPS 66 - MACH 1 25,Gas,Sale,-6.14,
11/14/25,11/16/25,THORNTONS #0331,Gas,Sale,-30.05,
11/14/25,11/16/25,STARBUCKS STORE 25706,Food & Drink,Sale,-4.91,
11/15/25,11/16/25,DIERBERGS MARKET PL,Groceries,Sale,-97.2,
11/12/25,11/14/25,KWIK TRIP #484,Gas,Sale,-35.5,
11/12/25,11/14/25,KWIK TRIP #484,Gas,Sale,-5.05,
11/12/25,11/14/25,MCCOY MCC SNACK BAR,Food & Drink,Sale,-12.5,
11/12/25,11/14/25,STARBUCKS STORE 25706,Food & Drink,Sale,-11.6,
11/13/25,11/14/25,JIMMY JOHNS - 4008,Food & Drink,Sale,-25.08,
11/12/25,11/14/25,SOUTHWES    5262104524366,Travel,Sale,-11.2,
11/12/25,11/13/25,JIMMY JOHNS - 4008,Food & Drink,Sale,-25.08,
11/11/25,11/13/25,SHELL OIL 12434854001,Gas,Sale,-9.97,
11/11/25,11/13/25,SHELL OIL10011154019,Gas,Sale,-31.53,
11/12/25,11/13/25,UBER   *TRIP,Travel,Sale,-15.97,
11/11/25,11/12/25,MCDONALD'S F37935,Food & Drink,Sale,-10.32,
11/11/25,11/12/25,MCDONALD'S F2752,Food & Drink,Sale,-15.29,
11/11/25,11/12/25,UBER   *TRIP,Travel,Sale,-6,
11/10/25,11/11/25,DIERBERGS MARKET PL,Groceries,Sale,-83.08,
11/6/25,11/7/25,DIERBERGS TOWN CENT,Groceries,Sale,-82.1,
11/4/25,11/5/25,DIERBERGS MARKET PL,Groceries,Sale,-48.1,
11/3/25,11/4/25,WALMART.COM,Shopping,Sale,-84.39,
11/2/25,11/4/25,OLIVE GARDEN ZK 0021546,Food & Drink,Sale,-66.33,
11/1/25,11/3/25,AMERICAN AIR0017344639831,Travel,Sale,-678.31,
10/31/25,11/2/25,CHICK-FIL-A #01976,Food & Drink,Sale,-28.03,
10/31/25,11/2/25,MCDONALD'S F7678,Food & Drink,Sale,-9,
10/31/25,11/2/25,DIERBERGS MARKET PL,Groceries,Sale,-41.14,
