Transaction Date,Post Date,Description,Category,Type,Amount,Memo
10/30/2025,10/31/2025,ON THE RUN #602,Gas,Sale,-25.75,
10/30/2025,10/31/2025,ON THE RUN #602,Gas,Sale,-32.27,
10/30/2025,10/31/2025,HONDA OF FRONTENAC,Automotive,Sale,-123.15,
10/29/2025,10/30/2025,DIERBERGS MARKET PL,Groceries,Sale,-100.44,
10/28/2025,10/29/2025,WALMART.COM,Shopping,Sale,-112.58,
10/27/2025,10/27/2025,AUTOMATIC PAYMENT - THANK,,Payment,4450.07,
10/25/2025,10/27/2025,BMAC DUGOUT CONCESSION,Food & Drink,Sale,-6.00,
10/25/2025,10/27/2025,BMAC DUGOUT CONCESSION,Food & Drink,Sale,-5.00,
10/24/2025,10/26/2025,SWA*EXCS_BAG5264296332610,Travel,Sale,-45.00,
10/25/2025,10/26/2025,ON THE RUN #602,Gas,Sale,-6.51,
10/24/2025,10/26/2025,UB - HELE 61059,Gas,Sale,-28.86,
10/23/2025,10/26/2025,NAVY EXCHANGE 140727,Shopping,Sale,-2.99,
10/23/2025,10/26/2025,MCDONALD'S F12658,Food & Drink,Sale,-16.95,
10/24/2025,10/26/2025,HONOLULU LIFE HNL,Food & Drink,Sale,-14.22,
10/24/2025,10/26/2025,BURGER KING GV HNL,Food & Drink,Return,20.93,
10/23/2025,10/26/2025,PANIOLOS KAPOLEI LLC,Food & Drink,Sale,-30.94,
10/24/2025,10/26/2025,BURGER KING GV HNL,Food & Drink,Sale,-20.93,
10/25/2025,10/26/2025,MCDONALD'S F7678,Food & Drink,Sale,-8.36,
10/24/2025,10/26/2025,EZ PARK,Travel,Sale,-133.00,
10/24/2025,10/26/2025,BURGER KING GV HNL,Food & Drink,Sale,-20.41,
10/24/2025,10/26/2025,RESIDENCE INN BY MARRI,Travel,Sale,-3400.20,
10/24/2025,10/26/2025,STARBUCKS NII HNL,Food & Drink,Sale,-6.54,
10/23/2025,10/24/2025,STEAK OUT,Food & Drink,Sale,-17.00,
10/22/2025,10/24/2025,MALAMA MARKET #1006,Groceries,Sale,-15.53,
10/21/2025,10/23/2025,RESIDENCE INN BY MARRI,Travel,Sale,-5.76,
10/22/2025,10/23/2025,JBPHH-HIC CAR CARE CTR,Shopping,Sale,-8.63,
10/21/2025,10/23/2025,PANIOLOS KAPOLEI LLC,Food & Drink,Sale,-35.05,
10/21/2025,10/22/2025,7-ELEVEN #54294,Groceries,Sale,-14.89,
10/21/2025,10/22/2025,UB - HELE 61059,Gas,Sale,-37.52,
10/21/2025,10/22/2025,PANIOLOS KAPOLEI LLC,Food & Drink,Sale,-35.05,
10/21/2025,10/21/2025,BWW EWA BEACH 657,Food & Drink,Sale,-20.34,
10/19/2025,10/21/2025,SOUTHWES    5262397476081,Travel,Sale,-303.96,
10/18/2025,10/20/2025,PANIOLOS KAPOLEI LLC,Food & Drink,Sale,-36.60,
10/18/2025,10/20/2025,DIAMOND HEAD VISITOR CENT,Entertainment,Sale,-8.19,
10/18/2025,10/20/2025,WAL-MART #3883,Groceries,Sale,-11.16,
10/18/2025,10/19/2025,EHAWAII.GOV PMT,Bills & Utilities,Sale,-16.40,
10/17/2025,10/19/2025,PANIOLOS KAPOLEI LLC,Food & Drink,Sale,-42.62,
10/16/2025,10/19/2025,PANIOLOS KAPOLEI LLC,Food & Drink,Sale,-34.04,
10/14/2025,10/16/2025,PANIOLOS KAPOLEI LLC,Food & Drink,Sale,-32.99,
10/14/2025,10/16/2025,MCDONALD'S M6995 OF HI,Food & Drink,Sale,-8.59,
10/14/2025,10/16/2025,BEST WESTERN HOTELS,Travel,Sale,-222.95,
10/15/2025,10/16/2025,SOUTHWES    5260289266727,Travel,Return,45.00,
10/14/2025,10/16/2025,TARGET        00024117,Shopping,Sale,-17.03,
10/15/2025,10/15/2025,Payment Thank You-Mobile,,Payment,5000.00,
10/13/2025,10/15/2025,PANERA BREAD #203248 K,Food & Drink,Sale,-18.52,
10/13/2025,10/15/2025,SHELL OIL 12578168002,Gas,Sale,-9.99,
10/13/2025,10/15/2025,IHOP OLO 3608,Food & Drink,Sale,-27.31,
10/13/2025,10/14/2025,SWA*EXCS_BAG5264294664091,Travel,Sale,-45.00,
10/13/2025,10/14/2025,PHX THE TODAY SHOW,Shopping,Sale,-12.98,
10/13/2025,10/14/2025,STL HUDSONNEWS ST1687,Groceries,Sale,-11.77,
10/13/2025,10/14/2025,CONNECTIONS C ST2868,Shopping,Sale,-7.99,
10/13/2025,10/14/2025,CONNECTIONS C ST2868,Shopping,Sale,-5.79,
10/13/2025,10/14/2025,25% BACK INFLIGHT PURCH.,Fees & Adjustments,Adjustment,2.00,
10/13/2025,10/14/2025,SWA INFLIGHT WIFI,Bills & Utilities,Sale,-8.00,
10/13/2025,10/14/2025,CONNECTIONS C ST2868,Shopping,Sale,-4.99,
10/13/2025,10/14/2025,25% BACK INFLIGHT PURCH.,Fees & Adjustments,Adjustment,2.00,
10/13/2025,10/14/2025,SWA INFLIGHT WIFI,Bills & Utilities,Sale,-8.00,
10/12/2025,10/13/2025,DIERBERGS MARKET PL,Groceries,Sale,-177.88,
10/11/2025,10/13/2025,CHICK-FIL-A #01976,Food & Drink,Sale,-24.19,
10/12/2025,10/13/2025,ON THE RUN #602,Gas,Sale,-17.31,
10/11/2025,10/13/2025,ESPINOS MEXICAN BAR AND,Food & Drink,Sale,-48.74,
10/11/2025,10/12/2025,TARGET        00013532,Shopping,Sale,-125.48,
10/10/2025,10/12/2025,DIERBERGS MARKET PL,Groceries,Sale,-29.49,
10/09/2025,10/10/2025,ST LOUIS CO REVENUE COLL,Bills & Utilities,Sale,-859.33,
10/09/2025,10/10/2025,DIERBERGS MARKET PL,Groceries,Sale,-18.13,
10/08/2025,10/09/2025,DIERBERGS MARKET PL,Groceries,Sale,-74.01,
10/07/2025,10/08/2025,CHIPOTLE 0918,Food & Drink,Sale,-3.54,
10/07/2025,10/08/2025,WM SUPERCENTER #2600,Groceries,Sale,-52.73,
10/06/2025,10/07/2025,SP RECELLEXCHANGE,Shopping,Sale,-47.97,
10/06/2025,10/07/2025,DD *DOORDASH DAVESHOTC,Food & Drink,Sale,-65.54,
10/06/2025,10/07/2025,DIERBERGS MARKET PL,Groceries,Sale,-49.39,
10/03/2025,10/05/2025,ON THE RUN #602,Gas,Sale,-43.02,
10/03/2025,10/05/2025,DIERBERGS MARKET PL,Groceries,Sale,-97.34,
10/03/2025,10/05/2025,SOUTHWES    5267337576914,Travel,Sale,-1185.75,
10/02/2025,10/03/2025,MCDONALD'S F7990,Food & Drink,Sale,-8.13,
10/01/2025,10/02/2025,DIERBERGS MARKET PL,Groceries,Sale,-69.98,
