Transaction Date,Post Date,Description,Category,Type,Amount,Memo
1/29/26,1/30/26,DIERBERGS MARKET PL,Groceries,Sale,-64.11,
1/29/26,1/30/26,MCDONALD'S F19156,Food & Drink,Sale,-7.86,
1/29/26,1/29/26,AMAZON MKTPL*LS0G81BC3,Shopping,Sale,-333.52,
1/27/26,1/27/26,AUTOMATIC PAYMENT - THANK,,Payment,7134.39,
1/27/26,1/27/26,OSHPARK.COM,Shopping,Sale,-41.2,
1/24/26,1/25/26,EXXON ON THE RUN #602,Gas,Sale,-5.01,
1/24/26,1/25/26,EXXON ON THE RUN #602,Gas,Sale,-10.73,
1/24/26,1/25/26,691 GREAT CLIPS AT MAPLE,Personal,Sale,-28,
1/24/26,1/25/26,Spectrum Mobile,Bills & Utilities,Sale,-42,
1/24/26,1/25/26,DIERBERGS MARKET PL,Groceries,Sale,-12.56,
1/22/26,1/23/26,DIERBERGS MARKET PL,Groceries,Sale,-175.02,
1/20/26,1/21/26,DIERBERGS MARKET PL,Groceries,Sale,-73.45,
1/17/26,1/19/26,HWSL HOLLYWOOD GRIND,Food & Drink,Sale,-13.38,
1/17/26,1/19/26,QDOBA 2172,Food & Drink,Sale,-23.79,
1/17/26,1/19/26,POTBELLY #539,Food & Drink,Sale,-28.79,
1/18/26,1/19/26,DIERBERGS MARKET PL,Groceries,Sale,-95.67,
1/17/26,1/19/26,QT 602,Gas,Sale,-18.96,
1/18/26,1/19/26,EXXON COUNTRY CLUB EXP,Gas,Sale,-24.64,
1/15/26,1/18/26,820 BOWLERO 8003425263,Food & Drink,Sale,-32.39,
1/17/26,1/18/26,APPLE.COM/BILL,Shopping,Sale,-0.99,
1/16/26,1/18/26,AMAZON MKTPL*J627V0ZI3,Shopping,Sale,-29.17,
1/15/26,1/16/26,DIERBERGS MARKET PL,Groceries,Sale,-37.62,
1/14/26,1/15/26,DIERBERGS MARKET PL,Groceries,Sale,-83.32,
1/13/26,1/14/26,CHIPOTLE 0918,Food & Drink,Sale,-15.66,
1/14/26,1/14/26,Amazon.com*0L1KL48E3,Shopping,Sale,-8.32,
1/12/26,1/13/26,AMAZON MKTPL*3U4IC4543,Shopping,Sale,-48.44,
1/12/26,1/13/26,PANERA BREAD #600718 P,Food & Drink,Sale,-3.59,
1/12/26,1/13/26,AMAZON MKTPL*S90RX7GE3,Shopping,Sale,-6.63,
1/12/26,1/13/26,SQ *SHAKE SHACK,Food & Drink,Sale,-29.74,
1/11/26,1/12/26,DIERBERGS MARKET PL,Groceries,Sale,-126.8,
1/11/26,1/12/26,DIERBERGS MARKET PL,Groceries,Sale,-18.18,
1/10/26,1/11/26,EXXON ON THE RUN #602,Gas,Sale,-12.49,
1/9/26,1/11/26,DIERBERGS MARKET PL,Groceries,Sale,-73.26,
1/9/26,1/11/26,EXXON ON THE RUN #602,Gas,Sale,-20,
1/10/26,1/11/26,MCDONALD'S F7678,Food & Drink,Sale,-13.55,
1/7/26,1/8/26,DIERBERGS MARKET PL,Groceries,Sale,-55.76,
1/6/26,1/7/26,AMAZON MKTPL*EP6O40273,Shopping,Sale,-19.79,
1/6/26,1/7/26,AMAZON MKTPL*FH3SA02X3,Shopping,Sale,-24.28,
1/5/26,1/7/26,AMERICAN AI 0012301997830,Travel,Return,5.6,
1/6/26,1/7/26,AMAZON MKTPL*SD7T41IP3,Shopping,Sale,-29.17,
1/6/26,1/7/26,OPENAI *CHATGPT SUBSCR,Shopping,Sale,-20,
1/3/26,1/4/26,DIERBERGS MARKET PL,Groceries,Sale,-128.18,
1/2/26,1/4/26,ESPINOS MEXICAN BAR AND,Food & Drink,Sale,-72.29,
1/1/26,1/4/26,MICRO CENTER BRNTWD-095,Shopping,Sale,-634.17,
1/3/26,1/4/26,RENDER.COM,Shopping,Sale,-14.3,
12/31/25,1/2/26,EZ PARK,Travel,Sale,-89,
12/31/25,1/1/26,CHIPOTLE 0918,Food & Drink,Sale,-28.22,
1/1/26,1/1/26,AMERICAN AIR0012301997830,Travel,Sale,-5.6,
12/31/25,1/1/26,Netflix.com,Bills & Utilities,Sale,-17.99,
