Transaction Date,Post Date,Description,Category,Type,Amount,Memo
3/30/26,3/31/26,CWT US COM  0067428247241,Travel,Sale,-24.3,
3/30/26,3/31/26,AMERICAN AI 0010283245890,Travel,Sale,-90,
3/30/26,3/31/26,739 GREAT CLIPS AT HILLTO,Personal,Sale,-28,
3/30/26,3/31/26,HUDSONNEWS  ST1205,Shopping,Sale,-18.75,
3/30/26,3/31/26,CHIPOTLE 3750,Food & Drink,Sale,-19.78,
3/29/26,3/30/26,4UP*LANDINGS GOLF,Entertainment,Sale,-34.5,
3/29/26,3/30/26,4UP*LANDINGS GOLF,Entertainment,Sale,-3,
3/28/26,3/30/26,THE LANDING AT SPIRIT,Entertainment,Sale,-10,
3/27/26,3/29/26,DIERBERGS MARKET PL,Groceries,Sale,-52.55,
3/28/26,3/29/26,MEINEKE CAR CARE CENTER #,Automotive,Sale,-1363.26,
3/28/26,3/29/26,SP TIMBUK2 DESIGNS,Shopping,Sale,-190.95,
3/28/26,3/29/26,UBER   *TRIP,Travel,Sale,-32.98,
3/28/26,3/29/26,DIERBERGS MARKET PL,Groceries,Sale,-34.15,
3/26/26,3/29/26,DELTA AIR   0067428247241,Travel,Sale,-2666.03,
3/27/26,3/27/26,AUTOMATIC PAYMENT - THANK,,Payment,3382.64,
3/26/26,3/27/26,GRAINGER,Home,Sale,-43.51,
3/26/26,3/27/26,VSI*STCHASPARKCONCESS,Bills & Utilities,Sale,-6,
3/26/26,3/26/26,Payment Thank You-Mobile,,Payment,3000,
3/25/26,3/26/26,820 BOWLERO ST PETERS,Food & Drink,Sale,-7.4,
3/24/26,3/26/26,AMERICAN AIR0017427320393,Travel,Sale,-603.36,
3/24/26,3/25/26,DIERBERGS MARKET PL,Groceries,Sale,-52.49,
3/24/26,3/25/26,EXXON ON THE RUN #602,Gas,Sale,-35.7,
3/23/26,3/24/26,TST* REC HALL - ST CHARLE,Food & Drink,Sale,-13,
3/23/26,3/24/26,TST* REC HALL - ST CHARLE,Food & Drink,Sale,-10,
3/24/26,3/24/26,Spectrum Mobile,Bills & Utilities,Sale,-52,
3/22/26,3/24/26,TST*OISHI SUSHI - CHESTE,Food & Drink,Sale,-114.84,
3/22/26,3/23/26,TST* ORIGINAL PANCAKE HOU,Food & Drink,Sale,-68.74,
