Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/29/2025,08/31/2025,GOLF CLUB AT HEATHER RIDG,Entertainment,Sale,-162.00,
08/29/2025,08/31/2025,CIRCLE K # 41159,Gas,Sale,-20.21,
08/30/2025,08/31/2025,CONOCO - ALTA CONVENIE,Gas,Sale,-6.51,
08/30/2025,08/31/2025,TST* COSTA VIDA 0012 - LO,Food & Drink,Sale,-35.60,
08/28/2025,08/29/2025,UNIVERSITY OF DENVER GOL,Education,Sale,-17.00,
08/27/2025,08/29/2025,SWA*EXCS_BAG5264288941272,Travel,Sale,-45.00,
08/27/2025,08/29/2025,SHAKE SHACK T2 STL,Food & Drink,Sale,-28.95,
08/28/2025,08/29/2025,25% BACK INFLIGHT PURCH.,Fees & Adjustments,Adjustment,2.00,
08/28/2025,08/29/2025,SWA INFLIGHT WIFI,Bills & Utilities,Sale,-8.00,
08/27/2025,08/29/2025,UPGRADED BOARDING CREDIT,Fees & Adjustments,Adjustment,218.00,
08/27/2025,08/29/2025,SWA*UPGBOARD5264288944566,Travel,Sale,-218.00,
08/27/2025,08/29/2025,SOUTHWES    5267328362014,Travel,Sale,-810.70,
08/27/2025,08/28/2025,ON THE RUN #602,Gas,Sale,-34.52,
08/27/2025,08/27/2025,AUTOMATIC PAYMENT - THANK,,Payment,3464.72,
08/26/2025,08/27/2025,DIERBERGS MARKET PL,Groceries,Sale,-99.41,
08/25/2025,08/26/2025,NETFLIX.COM,Bills & Utilities,Sale,-17.99,
08/25/2025,08/26/2025,DD *DOORDASH QDOBAMEXI,Food & Drink,Sale,-25.20,
08/24/2025,08/25/2025,EA *ELECTRONIC ARTS,Entertainment,Sale,-62.99,
08/24/2025,08/25/2025,MCDONALD'S F7678,Food & Drink,Sale,-20.74,
08/22/2025,08/24/2025,AMERICAN AIR0010275433792,Travel,Sale,-104.99,
08/22/2025,08/24/2025,AA WIFI 1-888-649-6711,Bills & Utilities,Sale,-12.00,
08/22/2025,08/24/2025,AMERICAN AIR0012605433714,Travel,Return,312.69,
08/22/2025,08/24/2025,AMERICAN AIR0012605433714,Travel,Sale,-314.98,
08/22/2025,08/24/2025,NAME-CHEAP.COM* KCIMWJ,Professional Services,Sale,-11.48,
08/23/2025,08/24/2025,DIERBERGS MARKET PL,Groceries,Sale,-79.30,
08/22/2025,08/24/2025,CASUALFOOD  2670,Shopping,Sale,-7.73,
08/22/2025,08/24/2025,CASUALFOOD  2670,Shopping,Sale,-24.71,
08/23/2025,08/24/2025,MCDONALD'S F7678,Food & Drink,Sale,-15.96,
08/22/2025,08/24/2025,CLT Trip Advisor Shop,Shopping,Sale,-9.35,
08/22/2025,08/24/2025,AUTOGRILL FRA AIRPORT,Travel,Sale,-14.27,
08/22/2025,08/24/2025,SALSARITAS FRESH MEXIC,Food & Drink,Sale,-24.87,
08/22/2025,08/24/2025,Esso Station Mainz-Kastel,Gas,Sale,-37.62,
08/19/2025,08/24/2025,AMERICAN AIR0017326312783,Travel,Sale,-21.00,
08/22/2025,08/24/2025,CLT Trip Advisor Shop,Shopping,Sale,-15.99,
08/21/2025,08/22/2025,WIE CLAY BUN-D,Shopping,Sale,-17.90,
08/21/2025,08/22/2025,MALI U MILO GASTRO MZ,Food & Drink,Sale,-24.98,
08/21/2025,08/22/2025,denn's Biomarkt Mainz,Groceries,Sale,-6.67,
08/22/2025,08/22/2025,Hilton Mainz,Travel,Sale,-69.65,
08/21/2025,08/22/2025,Wundermart,Groceries,Sale,-15.70,
08/22/2025,08/22/2025,Hilton Mainz,Travel,Sale,-94.49,
08/21/2025,08/22/2025,WIE CLAY DUNKIN DONUTS,Shopping,Sale,-4.26,
08/13/2025,08/22/2025,Hilton Mainz,Travel,Sale,-1604.31,
08/21/2025,08/22/2025,AAFES WIESBDN AB BR EX,Shopping,Sale,-3.55,
08/20/2025,08/21/2025,Hilton Mainz,Travel,Sale,-35.04,
08/19/2025,08/21/2025,STUTTGART PATCH JAVA CAF,Food & Drink,Sale,-1.75,
08/20/2025,08/21/2025,ATLANTIX FISH AND CHIPS C,Food & Drink,Sale,-3.08,
08/20/2025,08/21/2025,WIE CLAY DUNKIN DONUTS,Shopping,Sale,-4.26,
08/20/2025,08/21/2025,denn's Biomarkt Mainz,Groceries,Sale,-6.38,
08/20/2025,08/21/2025,ATLANTIX FISH AND CHIPS C,Food & Drink,Sale,-18.01,
08/19/2025,08/20/2025,AAFES EUC PATCH TACOBELL,Shopping,Sale,-10.29,
08/19/2025,08/20/2025,AAFES PNZ STARBUCKS,Shopping,Sale,-4.35,
08/19/2025,08/20/2025,Raststaette Lorsch Ost,Bills & Utilities,Sale,-1.17,
08/19/2025,08/20/2025,TOTAL SERVICE STATION,Gas,Sale,-53.98,
08/19/2025,08/20/2025,Wundermart,Groceries,Sale,-31.92,
08/19/2025,08/20/2025,TOTAL SERVICE STATION,Gas,Sale,-27.78,
08/19/2025,08/20/2025,Wundermart,Groceries,Sale,-14.56,
08/19/2025,08/20/2025,PATCH SHOPT/GAS,Shopping,Sale,-6.09,
08/18/2025,08/19/2025,AAFES WIESBDN AB BR EX,Shopping,Sale,-4.20,
08/18/2025,08/19/2025,AAFES HAINERBERG SHOPETE,Shopping,Sale,-12.39,
08/18/2025,08/19/2025,KFC MAINZ KASTEL,Food & Drink,Sale,-15.21,
08/18/2025,08/19/2025,WIE CLAY DUNKIN DONUTS,Shopping,Sale,-5.06,
08/17/2025,08/18/2025,Wundermart,Groceries,Sale,-24.84,
08/17/2025,08/18/2025,Wundermart,Groceries,Sale,-19.99,
08/17/2025,08/18/2025,Hilton Mainz,Travel,Sale,-33.98,
08/17/2025,08/18/2025,Wundermart,Groceries,Sale,-19.40,
08/16/2025,08/17/2025,RISTORANTE COMO-LARIO,Food & Drink,Sale,-26.95,
08/15/2025,08/17/2025,MEDIA MARKT MAINZ-CITY,Shopping,Sale,-40.99,
08/16/2025,08/17/2025,Wundermart,Groceries,Sale,-7.18,
08/16/2025,08/17/2025,denn's Biomarkt Mainz,Groceries,Sale,-9.55,
08/16/2025,08/17/2025,SumUp  *apres MVRVF77K,Food & Drink,Sale,-4.80,
08/16/2025,08/17/2025,denn's Biomarkt Mainz,Groceries,Sale,-8.69,
08/15/2025,08/17/2025,WIE CLAY DUNKIN DONUTS,Shopping,Sale,-5.06,
08/15/2025,08/17/2025,AAFES WIESBDN AB BR EX,Shopping,Sale,-6.39,
08/15/2025,08/17/2025,AAFES WIESBDN AB BR EX,Shopping,Sale,-8.48,
08/15/2025,08/17/2025,Wundermart,Groceries,Sale,-24.25,
08/15/2025,08/17/2025,Wundermart,Groceries,Sale,-7.18,
08/16/2025,08/17/2025,SumUp  *apres MVRVF77K,Food & Drink,Sale,-4.80,
08/16/2025,08/17/2025,Wundermart,Groceries,Sale,-6.43,
08/15/2025,08/17/2025,EL BURRO GASTRONOMIE,Food & Drink,Sale,-23.95,
08/15/2025,08/17/2025,Wundermart,Groceries,Sale,-4.85,
08/14/2025,08/15/2025,Wundermart,Groceries,Sale,-14.57,
08/14/2025,08/15/2025,Wundermart,Groceries,Sale,-9.71,
08/14/2025,08/15/2025,AAFES WIESBDN AB BR EX,Shopping,Sale,-4.69,
08/13/2025,08/15/2025,LUFTHANSA   2204090639085,Travel,Sale,-105.29,
