Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/27/2025,12/29/2025,HOU AIRP F16 YARDHOUSE,Food & Drink,Sale,-63.08,
12/27/2025,12/29/2025,GAMEWAY INC,Entertainment,Sale,-27.99,
12/25/2025,12/28/2025,SILSBEE BUZZY BEE,Gas,Sale,-5.82,
12/27/2025,12/28/2025,AVIS RENT-A-CAR,Travel,Sale,-24.98,
12/26/2025,12/28/2025,CHESTERFIELD FAMILY YMCA,Gifts & Donations,Sale,-1.00,
12/25/2025,12/28/2025,SHELL OIL 42511852050,Gas,Sale,-3.02,
12/26/2025,12/28/2025,SHIPLEYS DONUTS FC0835,Food & Drink,Sale,-23.54,
12/27/2025,12/28/2025,Spectrum Mobile,Bills & Utilities,Sale,-42.00,
12/26/2025,12/28/2025,SPEEDY STOP 120,Gas,Sale,-25.35,
12/26/2025,12/28/2025,SPEEDY STOP 120,Gas,Sale,-16.47,
12/25/2025,12/28/2025,ME-BEAUMONT-KIOSK,Food & Drink,Sale,-43.14,
12/26/2025,12/26/2025,AUTOMATIC PAYMENT - THANK,,Payment,3309.95,
12/25/2025,12/26/2025,ME-BEAUMONT-OD CP,Food & Drink,Sale,-51.31,
12/23/2025,12/25/2025,SHELL OIL 57543437107,Gas,Sale,-6.99,
12/23/2025,12/25/2025,HOU AIRP CHICK FIL AF05,Food & Drink,Sale,-34.95,
12/24/2025,12/25/2025,HOU PARKING GARAGE,Travel,Sale,-1.00,
12/23/2025,12/24/2025,739 GREAT CLIPS AT HILLTO,Personal,Sale,-28.00,
12/23/2025,12/24/2025,HUDSONNEWS  ST1208,Shopping,Sale,-7.52,
12/23/2025,12/24/2025,HUDSONNEWS  ST1210,Shopping,Sale,-22.78,
12/23/2025,12/24/2025,MCDONALD'S F7678,Food & Drink,Sale,-15.75,
12/22/2025,12/23/2025,DIERBERGS MARKET PL,Groceries,Sale,-98.74,
12/18/2025,12/21/2025,RESIDENCE INN BY MARRI,Travel,Sale,-680.04,
12/18/2025,12/21/2025,THE LOCAL T2 HNL CNP,Food & Drink,Sale,-41.44,
12/19/2025,12/21/2025,EZ PARK,Travel,Sale,-131.00,
12/19/2025,12/21/2025,DFW WHATABURGER - D12,Food & Drink,Sale,-5.83,
12/18/2025,12/21/2025,STARBUCKS STORE 54258,Food & Drink,Sale,-5.97,
12/18/2025,12/21/2025,SHELL OIL 12578168002,Gas,Sale,-20.39,
12/18/2025,12/21/2025,AMERICAN AI 0010279791081,Travel,Sale,-85.00,
12/18/2025,12/21/2025,SHELL OIL 12578168002,Gas,Sale,-45.06,
12/18/2025,12/19/2025,SQ *PAGES &amp; PAGES HONOLUL,Groceries,Sale,-14.99,
12/18/2025,12/19/2025,SQ *PAGES &amp; PAGES HONOLUL,Groceries,Sale,-3.99,
12/19/2025,12/19/2025,Panasonic Avionics Corpor,Bills & Utilities,Sale,-35.00,
12/18/2025,12/19/2025,SQ *PAGES &amp; PAGES HONOLUL,Groceries,Sale,-19.96,
12/18/2025,12/19/2025,SQ *PAGES &amp; PAGES HONOLUL,Groceries,Sale,-7.98,
12/17/2025,12/18/2025,RAISING CANES #34607,Food & Drink,Sale,-13.92,
12/16/2025,12/18/2025,PANIOLOS KAPOLEI LLC,Food & Drink,Sale,-36.77,
12/17/2025,12/18/2025,RESIDENCE INN BY MARRI,Travel,Sale,-2656.55,
12/17/2025,12/18/2025,7-ELEVEN #54294,Groceries,Sale,-17.16,
12/17/2025,12/18/2025,APPLE.COM/BILL,Shopping,Sale,-0.99,
12/15/2025,12/16/2025,7-ELEVEN #54294,Groceries,Sale,-9.92,
12/15/2025,12/16/2025,RAISING CANES #34607,Food & Drink,Sale,-16.21,
12/14/2025,12/16/2025,PANIOLOS KAPOLEI LLC,Food & Drink,Sale,-24.08,
12/14/2025,12/15/2025,TARGET        00024117,Shopping,Sale,-16.58,
12/13/2025,12/15/2025,PANIOLOS KAPOLEI LLC,Food & Drink,Sale,-53.46,
12/13/2025,12/15/2025,MCDONALD'S F12658,Food & Drink,Sale,-15.28,
12/12/2025,12/14/2025,JBPHH-HIC CAR CARE CTR,Shopping,Sale,-6.30,
12/13/2025,12/14/2025,PANIOLOS KAPOLEI LLC,Food & Drink,Sale,-32.12,
12/12/2025,12/12/2025,RAISING CANES #34607,Food & Drink,Sale,-13.92,
12/11/2025,12/12/2025,PANIOLOS KAPOLEI LLC,Food & Drink,Sale,-23.46,
12/10/2025,12/11/2025,JBPHH-HIC CAR CARE CTR,Shopping,Sale,-5.70,
12/09/2025,12/11/2025,TARGET        00024117,Shopping,Sale,-13.64,
12/08/2025,12/11/2025,DFW WHATABURGER - D12,Food & Drink,Sale,-11.67,
12/10/2025,12/11/2025,PANIOLOS KAPOLEI LLC,Food & Drink,Sale,-18.42,
12/08/2025,12/10/2025,COFFEE BEAN &amp; TEA LEAF,Food & Drink,Sale,-5.23,
12/08/2025,12/10/2025,PANIOLOS KAPOLEI LLC,Food & Drink,Sale,-16.81,
12/08/2025,12/10/2025,TARGET        00024117,Shopping,Sale,-25.41,
12/08/2025,12/10/2025,STARBUCKS C-17 STL,Food & Drink,Sale,-8.83,
12/08/2025,12/09/2025,HUDSONNEWS  ST1207,Shopping,Sale,-6.57,
12/08/2025,12/09/2025,TRAVELLEISURE NEW ST28,Shopping,Sale,-17.55,
12/08/2025,12/09/2025,AMERICANAIRLINES PAC USD,Bills & Utilities,Sale,-35.00,
