Transaction Date,Post Date,Description,Category,Type,Amount,Memo
06/29/2025,06/30/2025,EXXON ON THE RUN #602,Gas,Sale,-28.67,
06/28/2025,06/29/2025,GLF*COUNTRYLAKES,Entertainment,Sale,-53.36,
06/28/2025,06/29/2025,GLF*COUNTRYLAKES,Entertainment,Sale,-54.81,
06/28/2025,06/29/2025,COUNTRY LAKE GOLF CLUB,Health & Wellness,Sale,-16.00,
06/28/2025,06/29/2025,EXXON BLUESTONE MID RI,Gas,Sale,-3.66,
06/28/2025,06/29/2025,MCDONALD'S F20374,Food & Drink,Sale,-12.82,
06/28/2025,06/29/2025,EXXON COUNTRY CLUB EXP,Gas,Sale,-12.38,
06/28/2025,06/29/2025,GLF*COUNTRYLAKES,Entertainment,Sale,-8.76,
06/27/2025,06/27/2025,AUTOMATIC PAYMENT - THANK,,Payment,3789.64,
06/26/2025,06/27/2025,DIERBERGS MARKET PL,Groceries,Sale,-61.08,
06/27/2025,06/27/2025,Dicks Sporting Goods,Shopping,Sale,-65.46,
06/26/2025,06/27/2025,MCDONALD'S F7678,Food & Drink,Sale,-8.36,
06/23/2025,06/25/2025,CHICK-FIL-A #01976,Food & Drink,Sale,-11.66,
06/24/2025,06/25/2025,DIERBERGS MARKET PL,Groceries,Sale,-28.57,
06/23/2025,06/24/2025,4UP*LANDINGS GOLF,Entertainment,Sale,-13.00,
06/23/2025,06/24/2025,4UP*LANDINGS GOLF,Entertainment,Sale,-78.00,
06/22/2025,06/23/2025,DIERBERGS MARKET PL,Groceries,Sale,-78.20,
06/22/2025,06/23/2025,4UP*LANDINGS GOLF,Entertainment,Sale,-15.05,
06/22/2025,06/23/2025,4UP*LANDINGS GOLF,Entertainment,Sale,-156.00,
06/21/2025,06/23/2025,ESPINOS MEXICAN BAR AND,Food & Drink,Sale,-64.74,
06/20/2025,06/22/2025,QDOBA 2172,Food & Drink,Sale,-12.98,
06/21/2025,06/22/2025,4UP*LANDINGS GOLF,Entertainment,Sale,-80.00,
06/19/2025,06/20/2025,MCDONALD'S F7678,Food & Drink,Sale,-8.68,
06/17/2025,06/19/2025,SOUTHWES    5262357114089,Travel,Sale,-425.92,
