Transaction Date,Post Date,Description,Category,Type,Amount,Memo
09/29/2025,09/30/2025,DIERBERGS MARKET PL,Groceries,Sale,-42.21,
09/28/2025,09/29/2025,DIERBERGS MARKET PL,Groceries,Sale,-72.69,
09/27/2025,09/29/2025,EZ PARK,Travel,Sale,-210.00,
09/26/2025,09/28/2025,BURGER KING GV HNL,Food & Drink,Sale,-18.10,
09/26/2025,09/28/2025,STARBUCKS CTL CONC HNL,Food & Drink,Sale,-6.54,
09/27/2025,09/28/2025,25% BACK INFLIGHT PURCH.,Fees & Adjustments,Adjustment,2.00,
09/27/2025,09/28/2025,SWA INFLIGHT WIFI,Bills & Utilities,Sale,-8.00,
09/26/2025,09/28/2025,SWA*EXCS_BAG5264292232190,Travel,Sale,-195.00,
09/26/2025,09/28/2025,Nyx*SmarteCarte Cart/Stro,Personal,Sale,-8.00,
09/26/2025,09/28/2025,JOSE CUERVO C LAS,Food & Drink,Sale,-38.33,
09/26/2025,09/28/2025,7-ELEVEN #54294,Groceries,Sale,-14.64,
09/26/2025,09/28/2025,HUDSON ST2292,Shopping,Sale,-6.19,
09/26/2025,09/28/2025,25% BACK INFLIGHT PURCH.,Fees & Adjustments,Adjustment,2.00,
09/26/2025,09/28/2025,SWA INFLIGHT WIFI,Bills & Utilities,Sale,-8.00,
09/26/2025,09/28/2025,HUDSON ST2292,Shopping,Sale,-5.19,
09/26/2025,09/28/2025,RESIDENCE INN BY MARRI,Travel,Sale,-5698.74,
09/26/2025,09/28/2025,PANIOLOS KAPOLEI LLC,Food & Drink,Sale,-37.63,
09/26/2025,09/28/2025,UB - HELE 61059,Gas,Sale,-59.26,
09/26/2025,09/28/2025,SQ *PAGES &amp; PAGES HONOLUL,Groceries,Sale,-10.98,
09/26/2025,09/28/2025,AVIS RENT-A-CAR,Travel,Sale,-907.75,
09/26/2025,09/26/2025,AUTOMATIC PAYMENT - THANK,,Payment,9625.64,
09/24/2025,09/26/2025,RESIDENCE INN BY MARRI,Travel,Sale,-2.88,
09/24/2025,09/26/2025,PANIOLOS KAPOLEI LLC,Food & Drink,Sale,-24.09,
09/25/2025,09/26/2025,7-ELEVEN #54294,Groceries,Sale,-23.47,
09/23/2025,09/25/2025,PANIOLOS KAPOLEI LLC,Food & Drink,Sale,-34.66,
09/22/2025,09/24/2025,RESIDENCE INN BY MARRI,Travel,Sale,-2.88,
