Transaction Date,Post Date,Description,Category,Type,Amount,Memo
2/27/26,2/27/26,AUTOMATIC PAYMENT - THANK,,Payment,2810.85,
2/26/26,2/27/26,HUDSONNEWS  ST1210,Shopping,Sale,-11.45,
2/27/26,2/27/26,UBER   *TRIP,Travel,Sale,-41.97,
2/24/26,2/25/26,Spectrum Mobile,Bills & Utilities,Sale,-52,
2/23/26,2/24/26,DIERBERGS MARKET PL,Groceries,Sale,-33.22,
2/22/26,2/24/26,QDOBA 2172,Food & Drink,Sale,-28.1,
2/23/26,2/24/26,PAYPAL *METAPAY,Professional Services,Sale,-51.75,
2/19/26,2/23/26,SOUTHWES    5267418653500,Travel,Sale,-179.76,
2/21/26,2/22/26,9456 GREAT CLIPS AT TWON,Personal,Sale,-32,
2/21/26,2/22/26,DIERBERGS MARKET PL,Groceries,Sale,-87.71,
2/19/26,2/22/26,THE MUG SCRATCH KITCHE,Food & Drink,Sale,-29.86,
2/20/26,2/22/26,CHICK-FIL-A #01976,Food & Drink,Sale,-14.56,
2/20/26,2/22/26,OKC  OKLAHOMAS OwnNew,Shopping,Sale,-4.47,
2/20/26,2/22/26,SWA*EXCS_BAG5264313111139,Travel,Sale,-35,
2/20/26,2/22/26,EZ PARK,Travel,Sale,-122,
2/21/26,2/22/26,Dicks Sporting Goods,Shopping,Sale,-87.3,
2/19/26,2/20/26,PHILLIPS 66 - SAMI'S,Gas,Sale,-12.02,
2/18/26,2/20/26,BILLY SIMS BBQ - S MER,Food & Drink,Sale,-26.76,
2/17/26,2/20/26,HAMPTON INN AND SUITES OK,Travel,Sale,-3,
2/17/26,2/20/26,HAMPTON INN AND SUITES OK,Travel,Sale,-3,
2/18/26,2/19/26,Imperial  LLC.,Food & Drink,Sale,-3.4,
2/18/26,2/19/26,7-ELEVEN 41415,Gas,Sale,-3.63,
2/17/26,2/18/26,CHILI'S OKC I MERIDIAN,Food & Drink,Sale,-26.32,
2/17/26,2/18/26,Imperial  LLC.,Food & Drink,Sale,-3.4,
2/17/26,2/18/26,7-ELEVEN 41501,Gas,Sale,-5.21,
2/16/26,2/18/26,WHATABURGER 821    Q26,Food & Drink,Sale,-13.08,
2/14/26,2/18/26,HAMPTON INN AND SUITES OK,Travel,Sale,-1036.31,
2/17/26,2/18/26,APPLE.COM/BILL,Shopping,Sale,-0.99,
2/16/26,2/17/26,TEXAS ROADHOUSE #2203,Food & Drink,Sale,-43.38,
2/15/26,2/17/26,QDOBA WESTGATE,Food & Drink,Sale,-15.26,
2/15/26,2/17/26,SAN MARCOS MERIDIAN,Food & Drink,Sale,-20.86,
2/15/26,2/17/26,7-ELEVEN 41444,Gas,Sale,-5.21,
2/16/26,2/17/26,SP EVERYDAYDOSE,Groceries,Sale,-26.06,
2/14/26,2/16/26,QDOBA WESTGATE,Food & Drink,Sale,-13.63,
2/15/26,2/16/26,DD *DOORDASH CRUMBL,Food & Drink,Sale,-24.01,
2/14/26,2/16/26,THE GARAGE 787,Food & Drink,Sale,-20.66,
2/13/26,2/16/26,THE MUG SCRATCH KITCHE,Food & Drink,Sale,-52.11,
2/12/26,2/15/26,BJ'S RESTAURANTS 538,Food & Drink,Sale,-42.52,
2/12/26,2/15/26,HAMPTON INN AND SUITES OK,Travel,Sale,-15,
2/13/26,2/13/26,AIRBNB * HMHDNEJDMA,Travel,Sale,-2088.51,
2/11/26,2/12/26,SAN MARCOS MERIDIAN,Food & Drink,Sale,-26.92,
2/10/26,2/12/26,THE MUG SCRATCH KITCHE,Food & Drink,Sale,-31.31,
2/11/26,2/12/26,PHILLIPS 66 - ONCUE143,Gas,Sale,-8.12,
2/11/26,2/12/26,PHILLIPS 66 - ONCUE143,Gas,Sale,-7.8,
2/11/26,2/12/26,MCDONALD'S F4244,Food & Drink,Sale,-10.84,
2/10/26,2/12/26,CHICK-FIL-A #02979,Food & Drink,Sale,-15.69,
2/10/26,2/12/26,HAMPTON INN AND SUITES OK,Travel,Sale,-15,
2/9/26,2/11/26,HAMPTON INN AND SUITES OK,Travel,Sale,-15,
2/9/26,2/11/26,WHATABURGER 821    Q26,Food & Drink,Sale,-15.25,
2/9/26,2/10/26,HUDSON NEWS ST1571,Shopping,Sale,-13.23,
2/9/26,2/10/26,HUDSON NEWS ST1571,Shopping,Sale,-3.86,
