Transaction Date,Post Date,Description,Category,Type,Amount,Memo
4/28/26,4/30/26,CHUY'S 0236083,Food & Drink,Sale,-19.67,
4/28/26,4/30/26,THE GREAT AMERICAN GRILL,Food & Drink,Sale,-16.72,
4/28/26,4/30/26,CHICK-FIL-A #00870,Food & Drink,Sale,-10.24,
4/28/26,4/30/26,HILTON GARDEN INN HUNTSVI,Travel,Sale,-5,
4/27/26,4/29/26,MARATHON 121590,Gas,Sale,-17.09,
4/27/26,4/29/26,SHELL OIL 57544157308,Gas,Sale,-5,
4/27/26,4/29/26,SHELL OIL 57544157308,Gas,Sale,-13.24,
4/27/26,4/29/26,BJ'S RESTAURANTS 573,Food & Drink,Sale,-33.95,
4/27/26,4/28/26,PHILLIPS 66 - MACH 1 2,Gas,Sale,-18.56,
4/27/26,4/28/26,UBER   *TRIP,Travel,Sale,-36.97,
4/27/26,4/28/26,MCDONALD'S F24284,Food & Drink,Sale,-3.26,
4/27/26,4/28/26,MCDONALD'S F18113,Food & Drink,Sale,-9.92,
4/27/26,4/27/26,AUTOMATIC PAYMENT - THANK,,Payment,9263.68,
4/26/26,4/27/26,DIERBERGS MARKET PL,Groceries,Sale,-1.32,
4/26/26,4/27/26,DIERBERGS MARKET PL,Groceries,Sale,-78.43,
4/25/26,4/26/26,CAB STORE HAZELWOOD  MO,Shopping,Sale,-2.16,
4/25/26,4/26/26,CAB STORE HAZELWOOD  MO,Shopping,Sale,-1.62,
4/25/26,4/26/26,CAB STORE HAZELWOOD  MO,Shopping,Sale,-875.71,
4/25/26,4/26/26,TTU STUDENT HOUSING ECOM,Education,Sale,-500,
4/25/26,4/26/26,DIERBERGS MARKET PL,Groceries,Sale,-91.49,
4/25/26,4/26/26,DD *DOORDASH WINGSTOP,Food & Drink,Sale,-66.16,
4/25/26,4/26/26,739 GREAT CLIPS AT HILLTO,Personal,Sale,-28,
4/23/26,4/26/26,CHICK-FIL-A #03497,Food & Drink,Sale,-17.21,
4/24/26,4/26/26,QDOBA 2172,Food & Drink,Sale,-17.75,
4/24/26,4/26/26,MEINEKE CAR CARE CENTER #,Automotive,Sale,-24,
4/24/26,4/24/26,Spectrum Mobile,Bills & Utilities,Sale,-52,
4/22/26,4/23/26,MOTOR VEHICLE DEPT OF STA,Bills & Utilities,Sale,-480.33,
4/22/26,4/23/26,DIERBERGS MARKET PL,Groceries,Sale,-9.78,
4/19/26,4/20/26,OFFICE OF STATE COURTS AD,Bills & Utilities,Sale,-86.35,
4/17/26,4/19/26,SP EVERYDAYDOSE,Groceries,Sale,-37.52,
4/18/26,4/19/26,AMAZON MKTPL*BY14G4J61,Shopping,Sale,-16.92,
4/17/26,4/19/26,APPLE.COM/BILL,Shopping,Sale,-0.99,
4/17/26,4/19/26,USPS PO 2814820605,Shopping,Sale,-11.95,
4/19/26,4/19/26,MESHY,Shopping,Sale,-1,
4/17/26,4/19/26,DIERBERGS MARKET PL,Groceries,Sale,-37.32,
4/15/26,4/16/26,INTUIT *TURBOTAX,Shopping,Sale,-278,
4/15/26,4/16/26,DIERBERGS MARKET PL,Groceries,Sale,-91.79,
4/10/26,4/16/26,DELTA AIR   0067428247241,Travel,Return,2666.03,
4/14/26,4/15/26,DIERBERGS TOWN CENT,Groceries,Sale,-28.92,
4/12/26,4/13/26,DIERBERGS MARKET PL,Groceries,Sale,-32.56,
4/12/26,4/13/26,MINERFOOTBALLCAMPS,Entertainment,Sale,-530,
4/11/26,4/13/26,CHICK-FIL-A #01976,Food & Drink,Sale,-14.34,
4/10/26,4/12/26,EZ PARK,Travel,Sale,-133,
