Trans. Date,Post Date,Description,Amount,Category
02/06/2024,02/06/2024,"DIRECTPAY FULL BALANCESEE DETAILS OF YOUR NEXT DIRECTPAY BELOW",-269.91,"Payments and Credits"
02/06/2024,02/06/2024,"QDOBA 2172 CHESTERFIELD MO00683R",11.40,"Restaurants"
02/08/2024,02/08/2024,"STEAMBOAT RESORT 877-237-2628 CO400343138",195.75,"Travel/ Entertainment"
02/08/2024,02/08/2024,"STEAMBOAT RESORT 877-237-2628 CO400342968",209.45,"Travel/ Entertainment"
02/08/2024,02/08/2024,"STEAMBOAT RESORT 877-237-2628 CO400343240",209.45,"Travel/ Entertainment"
02/09/2024,02/09/2024,"APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 4539MTNFXD1YBYA0",11.99,"Merchandise"
02/12/2024,02/12/2024,"APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 4539MTNFXNQJBHA0",9.99,"Merchandise"
02/21/2024,02/21/2024,"FIN JAPANESE CUISINE CHESTERFIELD MO",63.57,"Restaurants"
02/22/2024,02/22/2024,"APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 4539MTNFYGMD6BA0",0.99,"Merchandise"
02/22/2024,02/22/2024,"SWA INFLIGHT WIFI 800-435-9792 CAAPPLE PAY ENDING IN 4539240222-17JQ573165W",8.00,"Services"
02/24/2024,02/24/2024,"APPLE.COM/BILL 866-712-7753 CAAPPLE PAY ENDING IN 4539MTNFYQ6DJ2A0",18.99,"Merchandise"
